path	origin_sha256	review_copy_sha256	reason
external_validation/audit_and_results/region_preparation_audit/CAD_L01.json	5b4d7996b32158c943cd9491642733c3ce4af752abc9c217c98666573bcdc3e2	09d93fdac9ac4ddd0c0b8ee5287432fc5f98c22670cd8439e562af8a6261f999	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L02.json	7cb9da41c31f9f15a72110e3dcebbf606600d9bf2d98efe959d9a0b090b8a703	cf5cc1252220d4f95fd8ce7f960dc5ca0e9d333f96d99aca13631c6c3b3f9d7a	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L03.json	6b63c6e24b2bc4f1a5b3455459fd71071198b4bdf4177bd8d3a230821b87df07	0c9b1d45f75618ae34df66168075a5fbb8cd02277e1a984a3b85e1854e625d58	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L04.json	ffb24efa6cf3b734741a978bb347cfe17c9b8e8b1ec0c6bd2a2bb416484b057e	797d059f3c27d66ffa5f7188b9a1e836f0e55654a93d93d9420cd77daa6b738c	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L05.json	87b5f5334afaf932a1c981a44bcf893dfb059af95690393be45a20d6ab3f09f6	ab5c110438ae5aa3f476f0c6419b70015ba5370808521e9487c1d9d9e7df199e	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L06.json	a357ecd02e47b7ad2e7828e26734881e5a53fd011a746f486df375ef8f17fbf2	830f05107be3bce4459c6b9d1b185f9a28f7a8d11dc81b4a09ba61ba310f8bd6	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L07.json	184125ac8b88f66d1c81a0efaaa5e14b8a4012dbf569bf3bf72c17b41f0abba6	8c2d81a9b5ceaa70a732ad6c8fe11664cd2eab8fc8ca9a9f553f247bc3e4fd0f	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L08.json	3863422b39a161429e7d956b5fd074081c50a5ecd81b27ace219261ebcda8a7e	20f29b695dc04c5cc221d897a310b553f415720b3753b61ada58f71a23de7279	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L09.json	8265d3ab7c6d8861535e7a0372d28d3c6735750ba5434e07802c9fdc69ca3634	487bc91143d20a4b7d1a3d32a110185bfc895a2a1cfea910842f3eff1cad5cbb	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L10.json	f1bdc7b53cef22e02b76a1f838880e194272f47f8b07c059906f8c4482559672	1ed3455b668671f9a382c77d7b8a871cd1e9312615aeb5330a2cf5c5f67c86c6	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L11.json	dff5ce4cca9214af1239ab20aca9223f784057287a30d70df8e62e8451e4420a	a5c1155786deffb32b025c1992e71b20dc873d8cb7ba98a815309fafb731a992	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/CAD_L12.json	a3dc033d2a238ab1cd18565e28619a3ca7292be9b5f06b20309f2168ede27463	f3a1819fe3285fe59d89e6aa12ce8a0f2c77edd4deca640b6bf569e696884cd2	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/HF_L01.json	51bcc8eeb9db1c0016e10395cd4446de32624cd08a65ce9b521857c44444bc23	c3e104ff9bfb5a15481f988462ae4b2d9e2350a44bf5c49ee0ef9742a63fb44c	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/HF_L02.json	5202be87e699dca957a810ce2621b8e8c9f81a95eb6e678ef90f6cfca866bc21	97a30c5044466b7d27fde2633e5d33ab23d3a052b95b2aef7abb3c80785ccaf3	absolute host path replaced for double-blind review
external_validation/audit_and_results/region_preparation_audit/HF_L03.json	fa1238d232414bc8334e582f8473b4feb9b2eefd4540c10cc1faed1b502cd5ad	039f11929f2fb0b60a995adcbdc7220f7d8855c8647130e023b5ccac5700ec46	absolute host path replaced for double-blind review
