path	bytes	sha256
architecture_v4/architecture_audit.json	1620	53031a61303f5fbc94e2cc4e23e7bf53c1c5e49f1328cf4b42e7adb0872cbd64
architecture_v4/Fig9_LD_GuardNet_architecture.pdf	42652	249afc1e6118e42bdc5b8312597bcdc8cef8c0e15e32924e9a4879a168db6b99
architecture_v4/Fig9_LD_GuardNet_architecture.png	725001	134586d98c24475f6b11999048e5b560ebbbbe485c22767117fa949d6ebf2040
architecture_v4/Fig9_LD_GuardNet_architecture.svg	57657	e68b1e1d2677d1534196eced4ad7f6b77b40a825fcd4bcfe8df332b0fa9f1bcc
architecture_v4/README.md	2185	cc0341e7590e28336184bb0bb16922fdc33f3444984ee32b09c646c98f6e5d8a
code/render_guardnet_architecture.py	7769	4daca23bd6035f164d104280d10fce62e9dce0b19f27fd74ad2c494d3a13c6a0
code/render_multisignal_revised.R	2843	c0057912611bb6b6cf1ef6ef8344bec19e2f785186f5332382471e6643f7b138
code/render_multisignal_robustness_figure.R	2828	401bd05a935edc09b2a5340ce70a145107c3bf504c30376348e70ced63995534
code/render_revision_figures.py	8189	5dcbba494dd14d57d4e8cc877ab50b37286a2b1ff106eb71107ecc84e0f558ea
code/render_single_signal_revised.R	1355	d72f8988da942539fafb8e77c35c417593f69c12d27f86fffa484bc383a22d60
code/replay_revision_predictions.py	1625	8c69b8ab5a7c2ef5a933a03e10ca60ae035d22f60c6776567553e40a742897d3
code/revise_multisignal.R	3576	51d2cbe45adda0eb1c2aa624006952da5b102c9cee7d986afa9177a938537714
code/revision_gate_precision.py	3634	abd748cbe48192295280f34bceb0b05b5144e093753ac287c64b63a231518f89
code/revision_guardnet_validation.py	14076	ee7cbb837bdc4adfc7bfdfa3e4ea6cae989a0619d04ae7ee5631fa69ab6eb298
code/revision_kriging_comparator.R	1904	7a03963a9e27f15bbd8e8fb4a30079806427b05a162a0a16e3b50475aab55661
code/run_ld_guardnet_benchmark.py	26678	339255cd52d6aa01327964a6ab6e87535a8c7babf0bd3d7454724aae3ae381bc
code/run_multisignal_coloc_robustness.R	13951	01b52967c7234d3d50fc8a9d778839c327525de54b2b9d82b8eb5a204756ddb8
code/summarize_revision_validation.py	2389	6894dc10e989b1262910dad394e2961d9662d4a505df25b4833c3f35332118af
code/test_revision_integrity.py	4278	3feb02b54cc90638426d5ba2f5f8e0ad6082ebe93e9a19a1bb47ac568aaa10d3
LD_GuardNet_MODEL_CARD.md	3407	dcf4ee874636466830ef3bf2cedebc61ba600e4f4ca2a14fe892ebad9c572224
ld_guardnet/benchmark_report.json	3931	2be6b17cbb9200c1593ababcc2c4c2ba84b05ee1dc1ff608e5420da870fbd3ca
ld_guardnet/figure_ld_guardnet_ood.png	580705	12eb2f396d3943ccb77c011cbeba2304613386a2c734119b66a0d006ca02897d
ld_guardnet/figure_ld_guardnet_ood.svg	93083	adb2d72ffc8db1d5573d64362b4604e5e035019d9f931168da37bea3f6134fc9
ld_guardnet/ld_guardnet_seed_11.pt	56599	52b53f5974920dd9cbafcc6c7c7d86bbfc8316d2719bcef4f0e03da6ee4d0b10
ld_guardnet/ld_guardnet_seed_29.pt	56599	638110215be983e3d0f6c4e11ddd92160e1fd31a5bffad407330744d35c3e620
ld_guardnet/ld_guardnet_seed_47.pt	56599	56368368908802099ab28f154af4105cee1053b27517a17f2c93b19f73b08f97
ld_guardnet/model_summary.tsv	667	5e9c5b2d855fb3c2cf874f81f71420d7db980a3dabdd946f7a5f7f49d04c3074
ld_guardnet/ood_predictions.tsv	480141	bff26b8baee6d3719d05dcc0d71ea6d0506e88f49e6085c390b8d7401e38e00b
ld_guardnet/training_history.json	32198	3d89fe56e0610cd176d47192d439311c21d35b9c8e9607b0d34de3729135eec7
ld_guardnet/training_seed_metrics.tsv	910	accf4ce872e28205577e0442e6028ec0e6366a18162950c7bd35a0d1c720faf3
LICENSE	11358	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
LICENSE_SCOPE.md	1933	205ffc6be1e90e90ee81766899aebbf759748370f9864d741eae36d523bd2b00
LICENSES/CC-BY-4.0.txt	18657	9ba9550ad48438d0836ddab3da480b3b69ffa0aac7b7878b5a0039e7ab429411
multisignal_coloc/figure_multisignal_robustness.png	516756	4e864919867ae56b720bbb8e0eb7881a18ddfac7a3cf75e8d1e2c487ba0b2b4c
multisignal_coloc/figure_multisignal_robustness.svg	45018	f3d6f0cbadc294977ad7f205f2d6891a0b1afa832110f77f9968ba3f72c1ce16
multisignal_coloc/multisignal_manifest.R	884	fb8d0ac8fc2539553de3ee15affe777408916c53d0b3bd0a110f187d2a7e9f8e
multisignal_coloc/multisignal_replicates.tsv	231476	c2d272943c9bfbe61d0ea0b8e87bfeb874bec840625b43270b4924562a58b189
multisignal_coloc/multisignal_summary.tsv	7968	d07c5f7e6aeaa11ccf1369ce223b433b0420cbdcac8b6179f39f48c31cc1e83c
multisignal_coloc/R_sessionInfo.txt	1566	46e762a7ec265adc7d0435dd71f7bee0f82bcecde16328183b9156ef406a0716
multisignal_revised/independent_abf_600.tsv	25339	406f2306f08c5fcd4ff9b10875f8c3364c2005844e69bc075db2ea228b17f637
multisignal_revised/multisignal_replicates.tsv	241271	64966fa278d57eaee1529308ec2c352325d9662b99b993fa34e6245f8da61de9
multisignal_revised/multisignal_summary.tsv	8407	8db0db094988e5f854baf2f23d156ecda330c6aebeb3ec7bc4dacc382f1f7a3b
multisignal_revised/REVISION_AUDIT.txt	1514	1332e115c464cba714174822f1c7a06c4fb468af3f16d8ecfd7091e70f00ef7f
network_replay.log	219	3a95dde891381858c5d62935b4ab9fdb3e63b2482bb5437b6f43140c63c96986
NUMERICAL_INTERFACE_AMENDMENT.md	1741	5f0ded43226b2f20a46b9b6a652fa5d95bdaffa6cfdae2139ae7cd9d26ecc9ef
original_ld_inputs/common_ld_AFR.tsv	138889	67ec6972b312e57c149f1c091ee4310e80220a67767f8dcd6c0911a03f84b919
original_ld_inputs/common_ld_AMR.tsv	133709	f035801850cdc7c8e7ef39e9c67293c033cdb5bfcf7ed039cd1db22260399dd3
original_ld_inputs/common_ld_EAS.tsv	133581	9c2d1afcba50cfe20ce874c5bfcc8e9b6924710f3b8c868ca3036d28639acf83
original_ld_inputs/common_ld_EUR.tsv	133687	27ee0fa576d4c8cf8ef64019d12ea1058d7e2979c1bdc1cb2a58780307146d9c
original_ld_inputs/common_ld_SAS.tsv	134143	70b8eb916d557f952ba77b44425ccc9a86685aafa76bffbcd011ee7d0e1775c8
README.md	5062	42d8306fd3742608958a97c4681de7d9d5c60d595c911b5b9387abae667d844a
REVISION_ANALYSIS_PLAN.md	3294	6096dc07d93c6d0b8228e0890d5fff8413198aead2fed22b438c52fea4554f8b
revision_environment.json	240	944cba972a4ed37374e13edc14de6f3c42cccca6b114856242f97675b44d985f
revision_figures/current_manuscript_figure_hashes.json	1547	b3a3f8d6d2d07f5e0970b9ec2f412802e259908ffad9767a254f50a24b1fc783
revision_figures/Fig10.png	438005	e192b3f2eb3f1291f8fb9aa2b0683b56b58fa921e7ecd6a60330aab2a5af94a0
revision_figures/Fig10.svg	66599	565b95c9a8dee81288e51e9d302869392715d5c5ff0c5fa0265d95b26fa77d31
revision_figures/Fig3.png	235388	ab06b2b840b0565283cfaf7c218bf4fe4ef47845f6dfae13935862e939d238da
revision_figures/Fig3.svg	7946	3eafdb0e0d6c60797ebdff399f65985bf23869691f1e7d35623712922309d53f
revision_figures/Fig6.png	459979	6b3d977d46607777a8d1fecfb611e4b0e192a9bfb1194a2acc5a4df35742ebaa
revision_figures/Fig6.svg	35459	0c866d65f7374fc7ee376101cb012c0c4071a02d8d52fba06de20088ebbb035a
revision_figures/Fig7.png	291184	acd41ebe0e118713212580d2bb3937ced5347e86c714c3d5ed315ffb16c3096f
revision_figures/Fig7.svg	16029	1209476c644668ef338dd550d04aeb1dd5a5e6614f8d3f5ebf3a1f790dd8b11a
